日期,时间,开盘,最高,最低,收盘,成交量,持仓量
2014/8/11,905,5768,5810,5768,5784,4298,31822
2014/8/11,910,5782,5800,5776,5792,2944,32210
2014/8/11,915,5792,5802,5790,5794,1220,32514
2014/8/11,920,5794,5806,5794,5802,1722,32962
2014/8/11,925,5802,5806,5800,5806,784,33320
2014/8/11,930,5806,5816,5800,5802,2644,33248
2014/8/11,935,5802,5826,5802,5818,4524,33538
2014/8/11,940,5818,5826,5810,5818,3506,33612
2014/8/11,945,5818,5878,5818,5864,7914,35100
2014/8/11,950,5866,5882,5852,5860,12750,35470
2014/8/11,955,5858,5862,5848,5850,3170,35966
2014/8/11,1000,5850,5854,5842,5844,2712,35572
2014/8/11,1005,5844,5858,5844,5852,2112,35578
2014/8/11,1010,5852,5856,5838,5840,2640,35358
2014/8/11,1015,5840,5844,5838,5840,2124,35072
2014/8/11,1035,5840,5844,5840,5844,470,35054
2014/8/11,1040,5844,5848,5842,5848,1194,35094
2014/8/11,1045,5848,5862,5848,5852,3046,35988
2014/8/11,1050,5854,5854,5850,5852,1512,35494
2014/8/11,1055,5852,5854,5844,5846,886,35410
2014/8/11,1100,5844,5852,5844,5852,776,35478
2014/8/11,1105,5852,5856,5850,5856,834,35826
2014/8/11,1110,5856,5858,5846,5848,624,35862
2014/8/11,1115,5848,5848,5842,5846,1808,35702
2014/8/11,1120,5846,5854,5842,5848,1480,35354
2014/8/11,1125,5854,5862,5852,5858,2202,35586
2014/8/11,1130,5858,5862,5856,5858,1756,35946
2014/8/11,1335,5858,5860,5852,5854,1146,35906
2014/8/11,1340,5854,5856,5850,5850,652,35830
2014/8/11,1345,5852,5858,5852,5856,690,35988
2014/8/11,1350,5856,5862,5842,5848,1858,36090
2014/8/11,1355,5848,5852,5818,5826,3446,35316
2014/8/11,1400,5828,5830,5820,5824,4512,35642
2014/8/11,1405,5824,5828,5814,5826,3332,36258
2014/8/11,1410,5826,5828,5820,5822,824,36302
2014/8/11,1415,5820,5824,5814,5820,2092,37038
2014/8/11,1420,5820,5834,5820,5830,1604,36858
2014/8/11,1425,5830,5830,5820,5822,764,36882
2014/8/11,1430,5822,5828,5822,5826,796,36684
2014/8/11,1435,5826,5828,5824,5826,876,36762
2014/8/11,1440,5824,5830,5822,5830,946,36564
2014/8/11,1445,5828,5854,5828,5852,3656,36502
2014/8/11,1450,5852,5854,5844,5852,2592,36566
2014/8/11,1455,5852,5854,5846,5848,1788,36664
2014/8/11,1500,5850,5850,5822,5832,4168,34066
