日期,时间,开盘,最高,最低,收盘,成交量,持仓量
2014/8/8,1335,6000,6000,6000,6000,0,0
2014/8/8,1340,6000,6000,6000,6000,0,0
2014/8/8,1345,6000,6000,6000,6000,0,0
2014/8/8,1350,6000,6000,6000,6000,0,0
2014/8/8,1355,6000,6000,6000,6000,0,0
2014/8/8,1400,6000,6000,6000,6000,0,0
2014/8/8,1405,5812,5814,5808,5810,109280,23066
2014/8/8,1410,5810,5810,5802,5802,4118,25146
2014/8/8,1415,5804,5806,5780,5784,6016,25852
2014/8/8,1420,5784,5790,5778,5778,4424,27322
2014/8/8,1425,5780,5780,5770,5776,3218,27992
2014/8/8,1430,5776,5792,5776,5788,3326,28012
2014/8/8,1435,5786,5806,5784,5796,3332,27684
2014/8/8,1440,5796,5796,5786,5792,1826,28284
2014/8/8,1445,5790,5800,5786,5798,2382,29024
2014/8/8,1450,5798,5802,5796,5800,2520,29296
2014/8/8,1455,5800,5800,5796,5796,508,29270
2014/8/8,1500,5798,5812,5782,5804,7866,31108
2014/8/11,905,5768,5810,5768,5784,4292,31656
2014/8/11,910,5782,5800,5776,5792,2918,32038
2014/8/11,915,5792,5802,5790,5794,1192,32314
2014/8/11,920,5794,5806,5794,5802,1684,32748
2014/8/11,925,5802,5806,5800,5806,774,33096
2014/8/11,930,5806,5816,5800,5802,2614,32998
2014/8/11,935,5802,5826,5802,5818,4502,33266
2014/8/11,940,5818,5826,5810,5818,3482,33320
2014/8/11,945,5818,5878,5818,5864,7874,34786
2014/8/11,950,5866,5882,5852,5860,12724,35152
2014/8/11,955,5858,5862,5848,5850,3168,35648
2014/8/11,1000,5850,5854,5842,5844,2694,35262
2014/8/11,1005,5844,5858,5844,5852,2104,35264
2014/8/11,1010,5852,5856,5838,5840,2636,35046
2014/8/11,1015,5840,5844,5838,5840,2124,34760
2014/8/11,1035,5840,5844,5840,5844,470,34742
2014/8/11,1040,5844,5848,5842,5848,1152,34740
2014/8/11,1045,5848,5862,5848,5852,2994,35582
2014/8/11,1050,5854,5854,5850,5852,1506,35082
2014/8/11,1055,5852,5854,5844,5846,886,34998
2014/8/11,1100,5844,5852,5844,5852,776,35066
2014/8/11,1105,5852,5856,5850,5856,834,35414
2014/8/11,1110,5856,5858,5846,5848,624,35450
2014/8/11,1115,5848,5848,5842,5846,1802,35288
2014/8/11,1120,5846,5854,5842,5848,1480,34940
2014/8/11,1125,5854,5862,5852,5858,2200,35172
2014/8/11,1130,5858,5862,5856,5858,1756,35532
2014/8/11,1335,5858,5860,5852,5854,1146,35492
2014/8/11,1340,5854,5856,5850,5850,652,35416
