timestamps,open,high,low,close,vol,p
2021-05-30 06:20:00,2256.07,2276.69,2255.05,2275.66,111117,490.6992
2021-05-30 06:25:00,2276.01,2277.39,2260.91,2261.94,118932,524.3213
2021-05-30 06:30:00,2262.98,2293.16,2261.8,2290.15,162060,710.1448
2021-05-30 06:35:00,2290.8,2290.8,2263.63,2272.2,73700,324.2356
2021-05-30 06:40:00,2274.69,2281.95,2267.24,2281.23,63891,280.7086
2021-05-30 06:45:00,2281.23,2282.29,2260.34,2262.73,1491954,6574.901
2021-05-30 06:50:00,2262.44,2263.8,2252.76,2253.31,187703,831.3642
2021-05-30 06:55:00,2253.79,2273.97,2253.79,2273.01,144372,637.9908
2021-05-30 07:00:00,2271.76,2272.24,2244.52,2253.16,216962,962.0744
2021-05-30 07:05:00,2254.3,2272,2254.3,2270.64,107596,474.6671
2021-05-30 07:10:00,2270.64,2271.5,2257.26,2264.76,79830,352.66
2021-05-30 07:15:00,2265.39,2277.53,2265.39,2273.63,132338,582.2621
2021-05-30 07:20:00,2273.64,2292.57,2263.59,2279.54,438609,1922.5331
2021-05-30 07:25:00,2278.89,2299.78,2276.04,2298.94,327633,1431.5318
2021-05-30 07:30:00,2298.53,2324.06,2298.14,2323.17,483826,2094.1537
2021-05-30 07:35:00,2323.18,2323.96,2306.38,2306.99,201919,872.7334
2021-05-30 07:40:00,2307.68,2310.86,2296.79,2297.99,148372,644.5005
2021-05-30 07:45:00,2297.72,2306.63,2280.62,2281.62,259471,1131.5957
2021-05-30 07:50:00,2280.62,2284.62,2272.45,2279.43,163061,715.788
2021-05-30 07:55:00,2278.45,2282.81,2273.07,2278.79,187604,823.5216
2021-05-30 08:00:00,2279.26,2282.62,2250.82,2255.81,302909,1336.6933
2021-05-30 08:05:00,2257.16,2277.25,2256.54,2275.83,121127,534.1632
2021-05-30 08:10:00,2276.38,2279.02,2243.45,2246.19,187166,829.6658
2021-05-30 08:15:00,2245.94,2254.21,2217.55,2227.03,451056,2020.3742
2021-05-30 08:20:00,2226.46,2236.63,2215.26,2218.39,320102,1438.1948
2021-05-30 08:25:00,2219.11,2227.94,2213.41,2225.13,186547,839.5864
2021-05-30 08:30:00,2224.85,2229.7,2198.46,2208.91,461440,2087.4928
2021-05-30 08:35:00,2208.8,2213.6,2182.2,2188.1,926283,4223.2735
2021-05-30 08:40:00,2187.82,2198.86,2184.26,2188.84,441986,2016.495
2021-05-30 08:45:00,2188.61,2210.49,2179.01,2205.75,684450,3120.8412
2021-05-30 08:50:00,2205.15,2215.93,2203.41,2212.86,194055,877.5981
2021-05-30 08:55:00,2212.59,2231.4,2212.59,2229.71,315968,1422.2522
2021-05-30 09:00:00,2230.03,2249.94,2226.86,2244.41,313667,1400.2573
2021-05-30 09:05:00,2244.4,2244.4,2215.7,2216.51,232243,1041.522
2021-05-30 09:10:00,2216.68,2227.1,2209,2216.23,182669,823.3642
2021-05-30 09:15:00,2216.45,2232.16,2209.74,2223.68,169310,762.463
2021-05-30 09:20:00,2223.17,2223.17,2211.25,2216.14,110371,497.8568
2021-05-30 09:25:00,2215.81,2215.81,2193.16,2206.21,257767,1170.6393
2021-05-30 09:30:00,2206.21,2215.46,2195.06,2209.84,209873,951.8525
2021-05-30 09:35:00,2208.57,2219.31,2201.36,2211.18,95640,432.7255
2021-05-30 09:40:00,2209.95,2212.33,2192.65,2204.57,116691,529.6321
2021-05-30 09:45:00,2204.65,2219.99,2204.65,2214.6,123361,556.861
2021-05-30 09:50:00,2214.06,2228.43,2214.06,2225.8,100192,451.007
2021-05-30 09:55:00,2224.88,2228.84,2218.25,2224.39,91440,411.1882
2021-05-30 10:00:00,2224.38,2225.22,2212.84,2215.25,80679,363.5848
2021-05-30 10:05:00,2215.6,2243.65,2215.6,2239.29,196805,881.2747
2021-05-30 10:10:00,2238.75,2242.34,2231.67,2234.34,60646,271.1886
2021-05-30 10:15:00,2234.71,2254.33,2234.09,2250.65,172247,767.206
2021-05-30 10:20:00,2250.72,2258.42,2241.8,2244.4,171305,761.0114
2021-05-30 10:25:00,2244.77,2264.46,2244.77,2259.42,183220,812.7565
2021-05-30 10:30:00,2259.42,2268.73,2251.32,2268.37,134545,595.1267
2021-05-30 10:35:00,2268.02,2268.02,2260.46,2261.46,71667,316.5429
2021-05-30 10:40:00,2262.24,2284.77,2260.31,2277,193052,849.0377
2021-05-30 10:45:00,2277.19,2277.19,2264.59,2265.3,78886,347.6704
2021-05-30 10:50:00,2265.22,2283.08,2265.22,2276.49,143931,633.029
2021-05-30 10:55:00,2275.6,2282.7,2266.5,2281.64,145546,639.0781
2021-05-30 11:00:00,2282.33,2287.98,2272.55,2274.44,188697,827.8931
2021-05-30 11:05:00,2274.44,2281.96,2274.44,2277.99,162687,713.7376
2021-05-30 11:10:00,2279.16,2294.99,2278.54,2294.45,197451,862.4603
2021-05-30 11:15:00,2294.23,2305.4,2293.16,2305.05,171213,744.2694
2021-05-30 11:20:00,2304.76,2311.52,2292.83,2293.92,289670,1256.941
2021-05-30 11:25:00,2294.59,2297.21,2279.9,2284.79,138548,605.8577
2021-05-30 11:30:00,2283.99,2290.05,2265.97,2267.46,148523,651.8692
2021-05-30 11:35:00,2267.64,2280.44,2267.64,2280.3,117954,519.0106
2021-05-30 11:40:00,2280.27,2289.48,2272.21,2278.45,230797,1012.1791
2021-05-30 11:45:00,2278.11,2295.9,2278.11,2293.53,108888,475.7942
2021-05-30 11:50:00,2292.91,2306.51,2292.35,2306.01,237360,1031.3721
2021-05-30 11:55:00,2306.28,2309.71,2291.18,2296.87,252434,1098.4968
2021-05-30 12:00:00,2297.67,2305.34,2280.97,2281.78,256833,1120.0859
2021-05-30 12:05:00,2282.24,2293.52,2280.33,2289.39,151413,662.5608
2021-05-30 12:10:00,2290.28,2297.64,2284.65,2286.33,81217,354.2594
2021-05-30 12:15:00,2285.79,2292.21,2276.12,2281.17,79584,348.4156
2021-05-30 12:20:00,2280.7,2287.69,2278.08,2283.01,103812,454.4887
2021-05-30 12:25:00,2282.42,2291.46,2282.42,2287.81,129988,568.2073
2021-05-30 12:30:00,2287.22,2319.81,2287.22,2318.76,376996,1633.3032
2021-05-30 12:35:00,2318.69,2318.91,2306.77,2307.69,215812,933.3356
2021-05-30 12:40:00,2307.69,2315.84,2305,2315.39,206249,892.3669
2021-05-30 12:45:00,2314.4,2319.79,2297.57,2308.13,226919,982.5032
2021-05-30 12:50:00,2309.31,2309.84,2293.07,2294.81,76382,331.8915
2021-05-30 12:55:00,2294.16,2303.74,2294.16,2298.13,66171,287.7036
2021-05-30 13:00:00,2297.81,2318.61,2297.81,2315.88,113291,490.5949
2021-05-30 13:05:00,2316.51,2330.25,2313.52,2320.81,259672,1117.5571
2021-05-30 13:10:00,2320.36,2336.3,2316.45,2332,234292,1005.2213
2021-05-30 13:15:00,2332.13,2344.29,2329.22,2339.15,202733,867.1416
2021-05-30 13:20:00,2339.09,2355,2338.51,2352.87,443799,1891.9604
2021-05-30 13:25:00,2353.53,2375.49,2350.01,2366.45,339790,1436.8148
2021-05-30 13:30:00,2365.76,2366.91,2348.63,2353.33,178321,757.2728
2021-05-30 13:35:00,2352.82,2360.38,2351.88,2357.71,134722,571.8429
2021-05-30 13:40:00,2358.43,2376.49,2355.01,2366.55,148013,625.3397
2021-05-30 13:45:00,2366.55,2389.84,2366.09,2376.43,1329612,5584.1819
2021-05-30 13:50:00,2376.24,2380.1,2367.4,2374.02,165425,696.7226
2021-05-30 13:55:00,2373.84,2374.8,2366.98,2371.7,125677,529.9936
2021-05-30 14:00:00,2374.76,2400.42,2374.76,2397.07,358320,1498.5071
2021-05-30 14:05:00,2397.97,2417.38,2397.65,2404.61,284241,1180.7487
2021-05-30 14:10:00,2404.44,2406.57,2390.61,2394.1,184023,766.958
2021-05-30 14:15:00,2394.85,2404.94,2394.1,2404.27,209857,874.4002
2021-05-30 14:20:00,2404.25,2415.39,2399.39,2401,179535,745.6076
2021-05-30 14:25:00,2400.61,2407.89,2396.42,2396.5,117270,488.041
2021-05-30 14:30:00,2396.55,2403.79,2378.1,2388.01,232992,974.9148
2021-05-30 14:35:00,2388.3,2415.37,2388,2413.36,277140,1152.8708
