timestamps,buyVolumes,sellVolumes,plot,openInterests,open,high,low,close,vol,p,buyinfo,sellinfo
2021/5/30 8:45,9082660,8651707,1.049811326,406806122,2188.61,2210.49,2179.01,2205.75,684450,3120.8412,,
2021/5/30 8:50,13645153,13021058,1.047929669,406776050,2205.15,2215.93,2203.41,2212.86,194055,877.5981,,
2021/5/30 8:55,7575180,6011765,1.260059234,407117377,2212.59,2231.4,2212.59,2229.71,315968,1422.2522,,
2021/5/30 9:00,7535029,7994884,0.942481342,407315431,2230.03,2249.94,2226.86,2244.41,313667,1400.2573,,
2021/5/30 9:05,11962772,12579597,0.950966235,409672640,2244.4,2244.4,2215.7,2216.51,232243,1041.522,,
2021/5/30 9:10,7977532,6445487,1.237692668,410523631,2216.68,2227.1,2209,2216.23,182669,823.3642,,
2021/5/30 9:15,5868392,6111371,0.960241491,410494163,2216.45,2232.16,2209.74,2223.68,169310,762.463,,
2021/5/30 9:20,5838438,4902989,1.190791576,410272251,2223.17,2223.17,2211.25,2216.14,110371,497.8568,,
2021/5/30 9:25,2889539,3733347,0.773980827,412047782,2215.81,2215.81,2193.16,2206.21,257767,1170.6393,,
2021/5/30 9:30,8959972,8610210,1.040621773,412509591,2206.21,2215.46,2195.06,2209.84,209873,951.8525,,
2021/5/30 9:35,5338283,4575620,1.166679707,412066440,2208.57,2219.31,2201.36,2211.18,95640,432.7255,,
2021/5/30 9:40,3311940,4160588,0.796026908,412183529,2209.95,2212.33,2192.65,2204.57,116691,529.6321,,
2021/5/30 9:45,3332061,4050684,0.822592184,411591791,2204.65,2219.99,2204.65,2214.6,123361,556.861,,
2021/5/30 9:50,4175815,3752422,1.112831926,411988470,2214.06,2228.43,2214.06,2225.8,100192,451.007,,
2021/5/30 9:55,3530206,2701498,1.306758695,411212826,2224.88,2228.84,2218.25,2224.39,91440,411.1882,,
2021/5/30 10:00,3171983,2970091,1.067975022,414178471,2224.38,2225.22,2212.84,2215.25,80679,363.5848,,
2021/5/30 10:05,3318739,4553908,0.728767248,415899684,2215.6,2243.65,2215.6,2239.29,196805,881.2747,,
2021/5/30 10:10,7033978,6566578,1.071178626,415193988,2238.75,2242.34,2231.67,2234.34,60646,271.1886,,
2021/5/30 10:15,2779506,3549889,0.782983919,416166608,2234.71,2254.33,2234.09,2250.65,172247,767.206,,
2021/5/30 10:20,7743080,5229860,1.480552061,415269992,2250.72,2258.42,2241.8,2244.4,171305,761.0114,,
2021/5/30 10:25,5952882,6063958,0.981682591,416316063,2244.77,2264.46,2244.77,2259.42,183220,812.7565,,
2021/5/30 10:30,6788189,6837434,0.992797737,416561048,2259.42,2268.73,2251.32,2268.37,134545,595.1267,,
2021/5/30 10:35,6770798,6080581,1.113511686,417437635,2268.02,2268.02,2260.46,2261.46,71667,316.5429,,
2021/5/30 10:40,2846858,3928670,0.724636582,417875212,2262.24,2284.77,2260.31,2277,193052,849.0377,,
2021/5/30 10:45,9690573,7594774,1.27595278,417647719,2277.19,2277.19,2264.59,2265.3,78886,347.6704,,
2021/5/30 10:50,4470634,4076617,1.096652936,418214690,2265.22,2283.08,2265.22,2276.49,143931,633.029,,
2021/5/30 10:55,5937425,4863165,1.220897296,417533863,2275.6,2282.7,2266.5,2281.64,145546,639.0781,,
2021/5/30 11:00,5011217,4329491,1.157461004,419352542,2282.33,2287.98,2272.55,2274.44,188697,827.8931,,
2021/5/30 11:05,7990747,6048911,1.321022412,419651039,2274.44,2281.96,2274.44,2277.99,162687,713.7376,,
2021/5/30 11:10,3868900,4275771,0.904842659,420322297,2279.16,2294.99,2278.54,2294.45,197451,862.4603,,
2021/5/30 11:15,8438624,6491373,1.299975213,420400513,2294.23,2305.4,2293.16,2305.05,171213,744.2694,,
2021/5/30 11:20,8060378,7831695,1.029199682,420175081,2304.76,2311.52,2292.83,2293.92,289670,1256.941,,
2021/5/30 11:25,7038463,7540868,0.933375707,422298133,2294.59,2297.21,2279.9,2284.79,138548,605.8577,,
2021/5/30 11:30,5698163,5725132,0.995289366,422178668,2283.99,2290.05,2265.97,2267.46,148523,651.8692,,
2021/5/30 11:35,6469706,7234608,0.894271811,421162762,2267.64,2280.44,2267.64,2280.3,117954,519.0106,,
2021/5/30 11:40,5132748,3766494,1.362738929,419906402,2280.27,2289.48,2272.21,2278.45,230797,1012.1791,,
2021/5/30 11:45,5923267,5260767,1.125932207,420100038,2278.11,2295.9,2278.11,2293.53,108888,475.7942,,
2021/5/30 11:50,4475560,2969021,1.507419449,419317861,2292.91,2306.51,2292.35,2306.01,237360,1031.3721,,
2021/5/30 11:55,9300445,8460033,1.099339092,419341670,2306.28,2309.71,2291.18,2296.87,252434,1098.4968,,
2021/5/30 12:00,7412460,7908160,0.93731791,420357412,2297.67,2305.34,2280.97,2281.78,256833,1120.0859,,
2021/5/30 12:05,4892990,5594795,0.874561088,421143689,2282.24,2293.52,2280.33,2289.39,151413,662.5608,,
2021/5/30 12:10,4090885,2999122,1.364027539,420840172,2290.28,2297.64,2284.65,2286.33,81217,354.2594,,
2021/5/30 12:15,2349185,2169592,1.082777315,420934262,2285.79,2292.21,2276.12,2281.17,79584,348.4156,,
2021/5/30 12:20,2810587,2683316,1.047430493,420606639,2280.7,2287.69,2278.08,2283.01,103812,454.4887,,
2021/5/30 12:25,3543025,3040550,1.16525793,420995933,2282.42,2291.46,2282.42,2287.81,129988,568.2073,,
2021/5/30 12:30,3700107,2966613,1.247249641,421720961,2287.22,2319.81,2287.22,2318.76,376996,1633.3032,,
2021/5/30 12:35,11682451,13450238,0.868568348,421654340,2318.69,2318.91,2306.77,2307.69,215812,933.3356,,
2021/5/30 12:40,5974664,6355193,0.94012314,421010392,2307.69,2315.84,2305,2315.39,206249,892.3669,,
2021/5/30 12:45,4611847,5171762,0.891736124,421252696,2314.4,2319.79,2297.57,2308.13,226919,982.5032,,
2021/5/30 12:50,5558765,5456151,1.018807031,421410553,2309.31,2309.84,2293.07,2294.81,76382,331.8915,,
2021/5/30 12:55,3097525,3757899,0.824270423,415667416,2294.16,2303.74,2294.16,2298.13,66171,287.7036,,
2021/5/30 13:00,2210269,2310147,0.956765522,414878660,2297.81,2318.61,2297.81,2315.88,113291,490.5949,,
2021/5/30 13:05,3775242,3772485,1.000730818,416012928,2316.51,2330.25,2313.52,2320.81,259672,1117.5571,,
2021/5/30 13:10,7772002,6990813,1.111745086,416110749,2320.36,2336.3,2316.45,2332,234292,1005.2213,,
2021/5/30 13:15,7981925,6574852,1.214008315,416968934,2332.13,2344.29,2329.22,2339.15,202733,867.1416,,
2021/5/30 13:20,6899559,8048319,0.857267089,423297705,2339.09,2355,2338.51,2352.87,443799,1891.9604,,
2021/5/30 13:25,10644835,7284301,1.461339255,424999076,2353.53,2375.49,2350.01,2366.45,339790,1436.8148,,
2021/5/30 13:30,14019539,13294824,1.054511064,426695764,2365.76,2366.91,2348.63,2353.33,178321,757.2728,,
2021/5/30 13:35,6864282,6967579,0.985174621,426373983,2352.82,2360.38,2351.88,2357.71,134722,571.8429,,
2021/5/30 13:40,4369366,4293516,1.017666174,425562824,2358.43,2376.49,2355.01,2366.55,148013,625.3397,,
2021/5/30 13:45,5792090,5560532,1.041643138,426017543,2366.55,2389.84,2366.09,2376.43,1329612,5584.1819,,
